,atr
747180,0.0
747181,0.0
747182,0.0
747183,0.0
747184,0.0
747185,0.0
747186,0.0
747187,0.0
747188,0.0
747189,0.0
747190,0.0
747191,0.0
747192,0.0
747193,0.0
747194,0.0
747195,0.0
747196,0.0
747197,0.0
747198,0.0
747199,0.0
747200,0.0
747201,0.0
747202,0.0
747203,0.0
747204,0.0
747205,0.0
747206,0.0
747207,0.0
747208,0.0
747209,0.0
747210,0.0
747211,0.0
747212,0.0
747213,0.0
747214,0.0
747215,0.0
747216,0.0
747217,0.0
747218,0.0
747219,0.0
747220,0.0
747221,0.0
747222,0.0
747223,0.0
747224,0.0
747225,0.0
747226,0.0
747227,0.0
747228,0.0
747229,7.0
747230,6.88
747231,6.7524
747232,6.627351999999999
747233,6.494804959999999
747234,6.5149088607999985
747235,6.394610683583998
747236,6.276718469912319
747237,6.161184100514072
747238,6.037960418503791
747239,5.917201210133714
747240,5.80885718593104
747241,5.692680042212419
747242,5.5888264413681705
747243,5.8470499125408075
747244,5.8201089142899916
747245,5.713706736004192
747246,5.609432601284108
747247,6.337243949258426
747248,7.360499070273257
747249,7.2232890888677925
747250,7.088823307090437
747251,6.957046840948628
747252,6.817905904129656
747253,6.681547786047063
747254,6.557916830326122
747255,6.4467584937196
747256,7.447823323845208
747257,7.3088668573683035
747258,7.192689520220938
747259,7.058835729816519
747260,6.927659015220189
747261,6.799105834915785
747262,7.193123718217469
747263,7.05926124385312
747264,6.928076018976058
747265,6.799514498596538
747266,6.663524208624607
747267,6.540253724452115
747268,6.409448649963073
747269,6.281259676963812
747270,6.155634483424535
747271,6.042521793756045
747272,5.931671357880925
747273,5.823037930723306
747274,5.71657717210884
747275,5.612245628666663
747276,5.510000716093329
747277,5.409800701771462
747278,5.311604687736033
747279,5.225372593981311
747280,5.120865142101685
747281,5.028447839259652
747282,5.147878882474458
747283,5.054921304824969
747284,4.97382287872847
747285,4.8843464211539
747286,4.796659492730822
747287,4.700726302876206
747288,4.616711776818683
747289,4.534377541282309
747290,4.473689990456663
747291,4.404216190647529
747292,4.326131866834578
747293,4.249609229497886
747294,4.164617044907929
747295,4.08132470400977
747296,4.019698209929575
747297,3.9493042457309837
747298,3.880318160816364
747299,3.812711797600037
747300,3.7464575616480364
747301,3.681528410415076
747302,3.6178978422067742
747303,3.5555398853626388
747304,3.4944290876553863
747305,3.4345405059022784
747306,3.525849695784233
747307,4.925332701868548
747308,5.216826047831177
747309,5.492489526874554
747310,5.392639736337063
747311,5.294786941610322
747312,5.188891202778116
747313,5.105113378722553
747314,5.013011111148102
747315,4.9227508889251395
747316,4.914295871146637
747317,5.076009953723704
747318,4.984489754649229
747319,4.894799959556245
747320,4.80690396036512
747321,4.720765881157818
747322,4.636350563534662
747323,4.553623552263969
747324,4.47255108121869
747325,4.393100059594316
747326,4.3152380584024295
747327,4.238933297234381
747328,4.174154631289693
747329,4.100671538663899
747330,4.028658107890622
747331,3.9580849457328093
747332,3.888923246818153
747333,3.8211447818817903
747334,3.754721886244154
747335,3.689627448519271
747336,3.6258348995488854
747337,3.5633182015579075
747338,3.5020518375267495
747339,3.4420108007762145
747340,3.38317058476069
747341,3.325507173065476
747342,3.268997029604167
747343,3.2136170890120836
747344,3.159344747231842
747345,3.1061578522872053
747346,3.0440346952414616
747347,2.983154001336632
747348,2.9834909213098997
747349,3.0138211028837016
747350,2.9635446808260273
747351,2.904273787209507
747352,2.9561883114653167
747353,2.9370645452360105
747354,2.8883232543312904
747355,2.830556789244665
747356,2.7839456534597713
747357,2.738266740390576
747358,2.6835014055827644
747359,2.639831377471109
747360,2.5970347499216873
747361,2.5450940549232537
747362,2.5041921738247885
747363,2.4641083303482927
747364,2.4248261637413266
747365,2.3863296404665
747366,2.34860304765717
747367,2.3116309867040266
747368,2.275398366969946
747369,2.2598903996305473
747370,2.2146925916379363
747371,2.180398739805178
747372,2.146790765009074
747373,2.1138549497088928
747374,2.091577850714715
747375,2.059746293700421
747376,2.0185513678264124
747377,1.9981803404698844
747378,1.9582167336604865
747379,1.9290523989872768
747380,2.020471351007531
747381,1.9800619239873805
747382,2.080460685507633
747383,2.06885147179748
747384,2.0574744423615305
747385,2.0263249535142998
747386,1.9857984544440137
747387,1.9460824853551335
747388,1.907160835648031
747389,1.8690176189350702
747390,1.8416372665563687
747391,1.8148045212252413
747392,1.7885084308007364
747393,1.7627382621847218
747394,1.7374834969410273
747395,1.7127338270022068
747396,1.6884791504621626
747397,1.6547095674529195
747398,1.6316153761038612
747399,1.6089830685817839
747400,1.5868034072101482
747401,1.5550673390659453
747402,1.5339659922846263
747403,1.5132866724389336
747404,1.6230209389901549
747405,1.5905605202103519
747406,1.558749309806145
747407,1.537574323610022
747408,1.5168228371378216
747409,1.4964863803950652
747410,1.4765566527871639
747411,1.4470255197314206
747412,1.4280850093367923
747413,1.4095233091500563
747414,1.391332842967055
747415,1.373506186107714
747416,1.3460360623855598
747417,1.3291153411378485
747418,1.3625330343150914
747419,1.6152823736287898
747420,1.612976726156214
747421,1.5807171916330898
747422,1.5491028478004278
747423,1.5181207908444194
747424,1.557758375027531
747425,1.5366032075269802
747426,1.5058711433764407
747427,1.475753720508912
747428,1.4462386460987338
747429,1.4173138731767592
747430,2.128967595713224
747431,2.0963882437989594
747432,2.1444604789229804
747433,2.1015712693445208
747434,2.4795398439576304
747435,2.439949047078478
747436,2.3911500661369085
747437,2.3433270648141704
747438,2.296460523517887
747439,2.260531313047529
747440,2.2253206867865787
747441,2.190814273050847
747442,2.15699798758983
747443,2.1238580278380335
747444,2.091380867281273
747445,2.0595532499356475
747446,2.0283621849369347
747447,1.9977949412381961
747448,1.977839042413432
747449,1.9482822615651634
747450,1.91931661633386
747451,1.8909302840071829
747452,1.8531116783270392
747453,1.8260494447604985
747454,1.7995284558652884
747455,1.7735378867479827
747456,1.7480671290130232
747457,1.7231057864327628
747458,1.6986436707041077
747459,1.6746707972900257
747460,1.6511773813442252
747461,1.6281538337173407
747462,1.6055907570429937
747463,1.583478941902134
747464,1.5618093630640915
747465,1.5405731758028096
747466,1.5197617122867535
747467,1.4993664780410185
747468,1.4693791484801983
747469,1.4499915655105944
747470,1.4309917342003826
747471,1.402371899516375
747472,1.3743244615260475
747473,1.3568379722955266
747474,1.339701212849616
747475,1.3229071885926238
747476,1.2964490448207713
747477,1.280520063924356
747478,1.2649096626458687
747479,1.2496114693929514
747480,1.2346192400050924
747481,1.2199268552049904
747482,1.2055283181008907
747483,1.1914177517388729
747484,1.1775893967040956
747485,1.1640376087700135
747486,1.1507568565946134
747487,1.137741719462721
747488,1.1249868850734668
747489,1.1124871473719975
747490,1.1002374044245575
747491,1.0882326563360665
747492,1.0764680032093452
747493,1.0649386431451584
747494,1.0536398702822551
747495,1.04256707287661
747496,1.031715731419078
747497,1.0110814167906963
747498,1.0008597884548824
747499,0.9908425926857848
747500,0.9810257408320691
747501,0.9614052260154277
747502,0.9521771214951191
747503,0.9331335790652168
747504,0.9244709074839125
747505,0.9059814893342342
747506,0.9178618595475495
747507,0.8995046223565986
747508,0.8815145299094667
747509,0.8738842393112773
747510,0.8664065545250519
747511,0.8490784234345509
747512,0.8320968549658599
747513,0.8154549178665428
747514,0.8091458195092119
747515,1.0029629031190277
747516,0.9929036450566471
747517,0.9730455721555141
747518,0.9635846607124039
747519,0.9443129674981559
747520,0.9354267081481927
747521,0.9267181739852289
747522,0.9081838105055243
747523,0.9000201342954138
747524,0.8920197316095055
747525,0.8741793369773154
747526,0.8666957502377691
747527,0.8493618352330138
747528,0.8323745985283536
747529,0.8257271065577865
747530,0.8192125644266308
747531,0.8028283131380982
747532,0.7867717468753362
747533,0.7810363119378294
747534,0.7754155856990728
747535,0.7599072739850914
747536,0.7447091285053895
747537,0.7298149459352817
747538,0.725218647016576
747539,0.7207142740762446
747540,0.7062999885947197
747541,0.6921739888228252
747542,0.6883305090463687
747543,0.6745638988654413
747544,0.6710726208881325
747545,0.6676511684703698
747546,0.6642981451009624
747547,0.6510121821989432
747548,0.6479919385549644
747549,0.6350320997838651
747550,1.272331457788188
747551,1.2568848286324241
747552,1.2417471320597757
747553,1.6969121894185804
747554,2.8129739456302087
747555,3.8667144667176045
747556,3.7893801773832525
747557,3.7235925738355875
747558,3.659120722358876
747559,3.5959383079116987
747560,3.5340195417534646
747561,3.463339150918395
747562,3.4040723679000275
747563,3.345990920542027
747564,3.2790711021311862
747565,3.213489680088563
747566,3.1592198864867913
747567,3.0960354887570554
747568,3.0541147789819143
747569,2.993032483402276
747570,2.9431718337342305
747571,2.8943083970595462
747572,2.846422229118355
747573,2.799493784535988
747574,2.7535039088452686
747575,2.7084338306683633
747576,2.664265154054996
747577,2.6209798509738964
747578,2.578560253954419
747579,2.5369890488753306
747580,2.8562492678978244
747581,2.799124282539868
747582,2.7531417968890706
747583,2.898078960951289
747584,3.0101173817322633
747585,3.429915034097618
747586,3.4213167334156656
747587,3.3528903987473524
747588,3.2958325907724055
747589,3.2299159389569576
747590,3.2553176201778182
747591,3.2102112677742616
747592,3.1560070424187763
747593,4.002886901570401
747594,4.1628291635389925
747595,4.089572580268213
747596,4.017781128662849
747597,4.127425506089591
747598,4.054876995967799
747599,4.573779456048443
747600,4.7823038669274744
747601,4.696657789588925
747602,4.602724633797147
747603,4.510670141121204
747604,4.44045673829878
747605,4.361647603532805
747606,4.284414651462148
747607,4.208726358432905
747608,4.2745518312642465
747609,4.199060794638962
747610,4.125079578746183
747611,4.042577987171259
747612,3.971726427427834
747613,3.902291898879277
747614,3.8242460609016917
747615,3.747761139683658
747616,3.6828059168899845
747617,3.6091497985521848
747618,3.546966802581141
747619,3.896027466529518
747620,3.8481069171989275
747621,3.8011447788549493
747622,4.135121883277851
747623,4.192419445612294
747624,4.1185710567000475
747625,4.036199635566047
747626,3.9654756428547255
747627,3.896166129997631
747628,3.828242807397678
747629,3.7616779512497245
747630,3.69644439222473
747631,3.6325155043802355
747632,3.5698651942926305
747633,3.498467890406778
747634,3.438498532598642
747635,3.3797285619466693
747636,3.3221339907077354
747637,3.2556913108935803
747638,3.1905774846757087
747639,3.1267659349821946
747640,3.064230616282551
747641,3.0029460039569
747642,2.942887083877762
747643,2.8940293422002066
747644,2.8461487553562024
747645,2.799225780249078
747646,2.7532412646440965
747647,2.6981764393512147
747648,2.65421291056419
747649,2.601128652352906
747650,2.559106079305848
747651,2.517923957719731
747652,2.477565478565337
747653,2.4380141689940302
747654,2.4192538856141494
747655,2.3808688079018667
747656,2.3332514317438293
747657,2.2965864031089525
747658,2.2506546750467735
747659,2.205641581545838
747660,2.1615287499149214
747661,2.1182981749166228
747662,2.2259322114182902
747663,2.1914135671899246
747664,2.157585295846126
747665,2.1244335899292035
747666,2.0919449181306193
747667,3.1201060197680066
747668,3.527703899372647
747669,3.617149821385194
747670,3.63480682495749
747671,3.57211068845834
747672,3.510668474689173
747673,3.58045510519539
747674,3.548846003091482
747675,3.517869083029652
747676,3.487511701369059
747677,3.4277614673416776
747678,3.369206237994844
747679,3.321822113234947
747680,3.265385670970248
747681,3.2000779575508433
747682,3.4460763983998266
747683,3.3871548704318304
747684,3.429411773023194
747685,3.79082353756273
747686,3.7250070668114756
747687,3.660506925475246
747688,3.597296786965741
747689,3.525350851226426
747690,3.464843834201898
747691,3.3955469575178596
747692,3.4776360183675026
747693,3.4180832980001528
747694,3.35972163204015
747695,3.3025271993993472
747696,3.24647665541136
747697,3.191547122303133
747698,3.13771617985707
747699,3.0849618562599286
747700,3.03326261913473
747701,2.982597366752035
747702,2.9229454194169944
747703,2.874486511028654
747704,2.826996780808081
747705,2.79045684519192
747706,2.7546477082880814
747707,2.70955475412232
747708,4.6253636590398735
747709,4.572856385859076
747710,5.3913992581418935
747711,5.293571272979055
747712,5.407699847519474
747713,5.309545850569085
747714,5.203354933557704
747715,5.20928783488655
747716,5.205102078188819
747717,5.111000036625042
747718,5.018780035892542
747719,4.918404435174691
747720,4.830036346471196
747721,4.743435619541772
747722,4.648566907150937
747723,4.565595569007918
747724,4.48428365762776
747725,4.494597984475205
747726,4.4147060247857
747727,4.996411904289986
747728,4.906483666204187
747729,4.818353992880103
747730,4.7319869130225
747731,4.63734717476205
747732,4.5746002312668095
747733,4.493108226641473
747734,4.413246062108644
747735,4.324981140866471
747736,4.2384815180491415
747737,4.163711887688159
747738,4.090437649934396
747739,4.098628896935708
747740,4.026656318996993
747741,4.066123192617053
747742,4.104800728764712
747743,4.032704714189418
747744,3.962050619905629
747745,3.8928096075075165
747746,3.814953415357366
747747,3.7486543470502185
747748,3.683681260109214
747749,3.62000763490703
747750,3.557607482208889
747751,3.4864553325647107
747752,3.4567262259134166
747753,3.387591701395148
747754,3.3598398673672456
747755,3.3026430700199008
747756,3.246590208619503
747757,3.191658404447113
747758,3.1378252363581707
747759,3.0950687316310077
747760,3.0431673569983877
747761,2.9923040098584197
747762,2.9524579296612514
747763,2.903408771068026
747764,2.8553405956466658
747765,2.8082337837337326
747766,2.762069108059058
747767,2.7168277258978772
747768,2.6624911713799198
747769,2.6192413479523213
747770,2.576856520993275
747771,2.5353193905734095
747772,2.494613002761941
747773,2.4547207427067024
747774,2.4156263278525683
747775,2.377313801295517
747776,2.3397675252696066
747777,2.3029721747642147
747778,2.2669127312689303
747779,2.231574476643552
747780,2.1969429871106807
747781,2.153004127368467
747782,2.1099440448210975
747783,2.0777451639246753
747784,2.046190260646182
747785,2.0152664554332587
747786,1.9849611263245936
747787,1.9452619037981018
747788,1.9063566657221398
747789,1.878229532407697
747790,1.8506649417595429
747791,1.823651642924352
747792,1.7971786100658647
747793,1.7612350378645474
747794,1.7360103371072564
747795,1.7112901303651114
747796,1.687064327757809
747797,1.663323041202653
747798,1.6500565803786
747799,2.157055448771028
747800,2.6439143397956077
747801,2.7610360529996956
747802,2.705815331939702
747803,2.6616990253009076
747804,2.6084650447948894
747805,2.5562957438989913
747806,2.5151698290210116
747807,2.4748664324405913
747808,2.4353691037917797
747809,2.3966617217159443
747810,2.3587284872816254
747811,2.321553917535993
747812,2.2751228391852734
747813,2.239620382401568
747814,2.2048279747535364
747815,2.170731415258466
747816,2.1373167869532965
747817,2.1045704512142307
747818,2.072479042189946
747819,2.041029461346147
747820,2.010208872119224
747821,1.9900046946768395
747822,1.9602046007833027
747823,1.9310005087676367
747824,1.892380498592284
747825,1.8545328886204384
747826,1.8274422308480296
747827,1.870893386231069
747828,2.0534755185064477
747829,2.232406008136319
747830,2.1977578879735926
747831,2.1638027302141207
747832,2.130526675609838
747833,2.0979161420976413
747834,2.065957819255688
747835,2.0346386628705746
747836,1.9939458896131632
747837,1.9540669718209
747838,1.914985632384482
747839,1.8866859197367924
747840,1.8589522013420565
747841,1.8317731573152154
747842,1.795137694168911
747843,2.189234940285533
747844,2.155450241479822
747845,2.1123412366502254
747846,2.080094411917221
747847,2.0384925236788765
747848,2.007722673205299
747849,1.9875682197411928
747850,1.9678168553463689
747851,1.9484605182394414
747852,1.9694913078746525
747853,2.030101481717159
747854,2.049499452082816
747855,2.01850946304116
747856,1.9881392737803367
747857,1.95837648830473
747858,1.9392089585386356
747859,1.910424779367863
747860,1.8822162837805059
747861,1.8545719581048956
747862,1.8274805189427976
747863,1.8009309085639416
747864,1.7749122903926626
747865,1.7394140445848094
747866,1.7046257636931132
747867,1.850533248419251
747868,1.873522583450866
747869,1.8460521317818488
747870,1.9191310891462117
747871,1.9607484673632873
747872,1.9315334980160217
747873,1.9029028280557012
747874,1.874844771494587
747875,1.8473478760646953
747876,1.8204009185434016
747877,1.7939929001725334
747878,1.7681130421690827
747879,1.742750781325701
747880,1.717895765699187
747881,1.6935378503852032
747882,1.819667093377499
747883,1.793273751509949
747884,1.75740827647975
747885,1.732260110950155
747886,1.6976149087311518
747887,1.6636626105565286
747888,1.6403893583453981
747889,1.61758157117849
747890,1.5952299397549203
747891,1.573325340959822
747892,1.5518588341406254
747893,1.5208216574578128
747894,1.5004052243086565
747895,1.4803971198224835
747896,1.4607891774260338
747897,1.431573393877513
747898,1.4229419259999627
747899,1.4044830874799634
747900,1.386393425730364
747901,1.3586655572157569
747902,1.3414922460714416
747903,1.3246624011500128
747904,1.3381691531270123
747905,1.3114057700644721
747906,1.3051776546631828
747907,1.2990741015699192
747908,1.2830926195385208
747909,1.2674307671477505
747910,1.2520821518047953
747911,1.2370405087686995
747912,1.2222996985933257
