,hband,lband,w
748480,9727.166666666666,9717.166666666666,0.10285773061560353
748481,9740.25,9669.75,0.7264296754250386
748482,9724.388888888889,9653.72222222222,0.729345252088566
748483,9705.041666666666,9651.291666666666,0.5553737794692521
748484,9702.9,9644.9,0.5995513701816227
748485,9697.527777777777,9648.861111111111,0.5031085330308493
748486,9694.5,9651.642857142857,0.4430562016791857
748487,9692.0,9654.25,0.39025650965949477
748488,9690.037037037036,9656.37037037037,0.34804050134678416
748489,9688.466666666665,9658.066666666666,0.3142681893052292
748490,9687.181818181816,9659.454545454544,0.2866366246422848
748491,9686.09722222222,9660.59722222222,0.2636109240596657
748492,9685.192307692307,9661.576923076922,0.24412742338216029
748493,9684.42857142857,9662.357142857143,0.22816636207563862
748494,9683.777777777777,9663.044444444444,0.2143332180880721
748495,9681.611111111111,9659.677777777777,0.22680322350114407
748496,9676.788888888888,9663.588888888888,0.13650198720696777
748497,9676.011111111111,9667.544444444444,0.08753992142086296
748498,9678.3,9669.966666666667,0.08614036054908057
748499,9678.588888888888,9673.52222222222,0.052362934850642355
748500,9679.344444444443,9674.41111111111,0.05098063080492257
748501,9679.744444444445,9675.277777777777,0.046155117936664575
748502,9680.466666666667,9675.866666666667,0.04752966298713975
748503,9682.088888888888,9676.088888888888,0.061989305696817196
748504,9684.52222222222,9676.322222222221,0.08470704904973175
748505,9686.633333333331,9677.566666666664,0.09364359660267418
748506,9688.888888888887,9679.088888888888,0.1011979682385168
748507,9690.833333333332,9681.099999999999,0.10048902363901291
748508,9692.811111111108,9683.144444444442,0.0997800251858484
748509,9702.699999999999,9683.033333333331,0.2028983513649338
748510,9706.977777777776,9689.111111111111,0.18422958122139713
748511,9714.52222222222,9693.788888888888,0.21365417335527026
748512,9723.088888888888,9694.62222222222,0.29320311239338703
748513,9729.111111111108,9696.377777777776,0.337014255039468
748514,9734.577777777775,9700.444444444442,0.3512559228700524
748515,9740.255555555552,9705.255555555552,0.35998025251186233
748516,9745.34444444444,9710.34444444444,0.3597919374624505
748517,9750.411111111107,9714.54444444444,0.3685255439119663
748518,9754.64444444444,9719.311111111107,0.3628778265672278
748519,9757.888888888883,9724.35555555555,0.34424507329180165
748520,9761.388888888883,9728.588888888884,0.3365832467741182
748521,9764.766666666661,9732.633333333328,0.32961659845244223
748522,9768.411111111105,9736.211111111104,0.33017814580704147
748523,9772.011111111105,9739.811111111105,0.33005630774277783
748524,9767.711111111104,9745.511111111105,0.22753802265129663
748525,9771.255555555548,9744.722222222215,0.27191395312558236
748526,9770.999999999995,9747.266666666661,0.24319099373578518
748527,9769.722222222217,9753.65555555555,0.16458900554549724
748528,9770.95555555555,9759.15555555555,0.12083904625906419
748529,9772.488888888884,9760.622222222217,0.12150308877234227
748530,9773.65555555555,9762.588888888884,0.1132936957063183
748531,9780.966666666664,9763.166666666662,0.18215184778383042
748532,9787.299999999996,9764.699999999995,0.23117839607201693
748533,9799.888888888885,9762.955555555553,0.37758653592750935
748534,9806.42222222222,9763.42222222222,0.4394516279582079
748535,9809.966666666664,9763.299999999996,0.47684086117460783
748536,9816.42222222222,9759.888888888885,0.5775688076518924
748537,9817.377777777776,9759.711111111108,0.5891240213900955
748538,9818.788888888888,9758.588888888888,0.6149955390689101
748539,9819.444444444443,9758.71111111111,0.6204193562666808
748540,9818.088888888888,9759.02222222222,0.6034257693224602
748541,9820.599999999999,9757.599999999999,0.6435729535912393
748542,9823.51111111111,9757.844444444441,0.6707060344250495
748543,9826.444444444442,9756.977777777774,0.7094435883411645
748544,9826.088888888888,9759.555555555555,0.6794091817816629
748545,9827.02222222222,9760.355555555554,0.6807104802185473
748546,9822.555555555555,9760.755555555554,0.631149652368411
748547,9822.455555555554,9759.72222222222,0.6407186580087588
748548,9815.733333333332,9759.399999999998,0.5755601494413043
748549,9815.477777777774,9755.477777777774,0.6131535052509787
748550,9819.411111111109,9752.544444444442,0.6832906040161788
748551,9816.022222222218,9754.555555555553,0.6281538272872067
748552,9822.644444444442,9751.444444444442,0.7274923538373935
748553,9828.799999999996,9751.399999999996,0.7905945802392178
748554,9833.13333333333,9753.73333333333,0.810747337501656
748555,9834.899999999996,9758.166666666662,0.7832702724773417
748556,9834.699999999995,9761.366666666663,0.7484495187809679
748557,9839.788888888887,9756.655555555551,0.8484532341468016
748558,9845.788888888887,9752.988888888885,0.9469978286627967
748559,9847.355555555552,9754.755555555552,0.944796195421132
748560,9848.93333333333,9756.399999999998,0.9439608269858495
748561,9850.299999999997,9759.633333333331,0.924701426827894
748562,9848.977777777774,9761.111111111108,0.8961373624007611
748563,9846.177777777775,9766.377777777776,0.8137644252831163
748564,9842.844444444441,9771.977777777774,0.7225828086922942
748565,9837.577777777775,9777.377777777776,0.6138173479872958
748566,9836.711111111108,9781.044444444442,0.5675131032092182
748567,9831.433333333329,9786.566666666662,0.45740306521222146
748568,9826.166666666662,9789.966666666664,0.36908395130537713
748569,9823.399999999996,9789.799999999996,0.34262639446903487
748570,9825.03333333333,9787.366666666663,0.3841107326657225
748571,9824.92222222222,9787.122222222219,0.38547740504135775
748572,9822.699999999995,9790.63333333333,0.3269884432358842
748573,9817.266666666663,9794.599999999997,0.23115256749314433
748574,9817.522222222216,9793.588888888884,0.2440793201133059
748575,9816.95555555555,9793.088888888884,0.24341267287059376
748576,9816.411111111105,9792.544444444438,0.2434261896208436
748577,9815.033333333327,9794.699999999993,0.20738000856718042
748578,9815.488888888884,9794.95555555555,0.2094122179790766
748579,9815.577777777773,9796.311111111107,0.19647945973813832
748580,9816.466666666664,9797.266666666663,0.19578118733133315
748581,9817.666666666662,9796.666666666662,0.21412912326020098
748582,9817.666666666662,9796.666666666662,0.21412912326020098
748583,9817.63333333333,9796.699999999995,0.21344934826573403
748584,9817.888888888883,9795.555555555551,0.2277349437177324
748585,9813.811111111107,9795.477777777773,0.18698621288324302
748586,9811.055555555551,9792.988888888884,0.184315708096524
748587,9804.477777777773,9793.14444444444,0.11566028985374546
748588,9800.166666666662,9792.966666666664,0.0734951360510544
748589,9797.444444444442,9790.111111111108,0.074877473225637
748590,9794.722222222219,9787.055555555553,0.0783040922399448
748591,9791.844444444441,9784.111111111108,0.07900848887183848
748592,9788.899999999996,9781.63333333333,0.07426130441002896
748593,9786.577777777773,9779.311111111107,0.07427893215516557
748594,9785.599999999997,9776.466666666664,0.0933780002794512
748595,9783.42222222222,9774.222222222219,0.09408085954455611
748596,9780.92222222222,9773.522222222218,0.0756861185294768
748597,9779.555555555553,9772.222222222219,0.07501449143585179
748598,9780.233333333332,9769.899999999998,0.1057111289948639
748599,9781.144444444444,9769.21111111111,0.12207791617317416
748600,9781.866666666667,9770.0,0.12138653427805825
748601,9782.544444444444,9771.077777777777,0.11728432242733586
748602,9783.466666666665,9771.999999999998,0.11727326033300649
748603,9784.411111111109,9772.877777777776,0.11794409131917359
748604,9784.899999999996,9774.766666666663,0.10361458102557863
748605,9786.177777777773,9776.377777777774,0.10019140875708522
748606,9788.522222222216,9777.722222222217,0.11039420498567658
748607,9790.522222222216,9779.722222222217,0.11037164130124248
748608,9791.85555555555,9781.988888888884,0.1008148061528833
748609,9792.511111111105,9784.444444444438,0.08240981743842556
748610,9794.37777777777,9786.311111111105,0.08239410484932584
748611,9796.25555555555,9788.188888888884,0.08237830477702406
748612,9798.13333333333,9790.066666666662,0.08236251076329135
748613,9797.988888888884,9792.922222222218,0.051724665973213534
748614,9797.699999999993,9793.766666666661,0.040153536233453545
748615,9798.388888888881,9792.322222222216,0.061934113899774844
748616,9797.722222222215,9791.255555555548,0.0660235234326837
748617,9796.97777777777,9790.244444444437,0.06875230450690895
748618,9796.044444444438,9789.311111111105,0.06875885724141079
748619,9795.333333333327,9788.266666666661,0.07216923003600667
